Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,b,a,f,a,b,e,a,g,a,h,b,d,e,a,c,c,g,e,a,i,b,e,a,c,g,b,a,f,a,f,b,d,b,e,f,c,d,d,d,b,f,b,a,c,e,b
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,Yes,,Yes,a,b,c,e,b,c,g,f,c,b,f,d,b,a,e,c,b,h,d,g,f,e,g,b,f,a,f,d,b,e,b,b,e,b,a,c,c,b,e,a,f,b,d,a,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Peruvian,"White,Middle Eastern or North African",1st,No,Student,Yes,,No Answer,a,b,c,g,f,a,e,f,d,a,g,d,b,a,e,c,h,h,d,g,f,a,g,i,f,c,b,b,b,a,e,g,e,b,b,c,a,b,e,a,f,b,d,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,Middle Eastern or North African,3rd,No,Student,Yes,,Yes,d,g,e,a,b,b,c,d,a,a,a,b,b,d,a,a,h,g,a,h,a,h,f,a,d,e,d,a,c,a,b,a,e,a,a,c,b,a,c,c,c,d,f,b,b,a,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,b,c,g,f,c,e,f,d,b,f,d,c,a,e,c,b,h,c,f,d,e,g,i,e,a,a,d,g,e,b,a,c,b,e,b,e,f,c,d,h,b,i,a,b,a,b,b,d,f,f,d,b,b,a,d,a,c,d,b,e,f,a,e,b,a,g,f,e,g,d,a,b,e,c,e,e,e,e,e,e,b,c,a,b,e,d,h,i,d,b,a,a,c
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,e,f,d,a,g,d,a,a,e,c,b,h,d,f,h,e,g,b,f,a,f,d,b,a,b,a,e,a,b,c,a,b,d,a,f,b,d,a,b,c,b,b,d,f,f,d,b,b,e,d,a,a,d,a,a,b,c,d,g,d,f,a,e,g,g,f,a,g,d,e,e,a,e,f,b,b,c,a,c,c,a,c,b,d,a,b,b,b
Woman,No Answer,No Answer,3rd,No,Student,No,,No,b,d,f,d,c,b,c,f,d,b,g,a,d,e,h,a,i,d,f,h,a,g,c,h,d,g,a,e,h,c,e,b,e,b,e,b,e,f,b,c,h,c,h,b,e,a,d,d,d,e,g,g,d,e,g,g,a,d,c,e,f,b,c,c,c,c,d,b,g,f,f,d,e,e,d,d,d,f,d,d,c,d,c,d,d,e,f,e,d,c,c,c,c,c
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,f,g,a,g,b,e,d,a,e,d,a,a,e,c,b,h,d,f,f,e,g,b,f,a,d,d,d,e,e,e,e,e,a,a,a,a,d,a,b,b,d,a,a,c,c,b,d,f,f,d,f,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,g,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,Yes,,Yes,b,b,f,c,f,c,c,d,g,f,b,d,d,f,f,a,e,e,f,h,h,a,d,c,f,h,e,f,e,f,g,b,e,f,f,f,b,c,a,e,c,e,f,a,a,c,c,b,d,d,g,c,e,f,b,b,e,e,g,a,g,h,f,a,g,d,e,a,f,c,a,d,g,b,b,a,c,f,e,g,a,c,e,f,e,a,d,e,g,h,b,c,a,a
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,Yes,a,b,f,g,b,c,b,f,d,b,f,d,b,a,e,c,d,h,c,f,f,e,d,g,f,a,f,d,b,a,a,b,e,b,b,a,a,e,e,d,g,a,d,a,c,b,c,a,b,h,g,b,a,b,f,d,c,f,d,b,a,e,c,g,h,d,f,i,e,e,g,f,a,f,d,b,e,a,g,e,b,a,b,c,e,d,d,c,c,d,a,a,e,e
No Answer,No Answer,No Answer,2nd,No,Student,Yes,,Yes,a,b,c,g,f,c,e,g,d,b,g,d,b,a,e,c,b,f,d,f,h,e,g,b,f,a,g,d,b,a,f,b,e,b,b,c,c,b,b,a,f,b,d,a,a,a,a,e,f,a,e,c,b,e,b,g,b,d,f,c,a,d,g,a,f,g,b,h,e,i,d,h,h,d,a,h,d,b,d,f,b,d,d,b,d,b,e,g,a,f,b,c,b,c
Woman,Mexican/Mexican American/Chicano/Chicana,White,2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,e,e,d,a,f,d,b,a,e,c,b,h,d,f,c,e,g,b,f,a,f,d,b,a,f,b,e,b,a,c,a,b,a,a,f,b,d,a,a,c,c,b,d,f,f,d,f,b,e,d,a,e,d,a,e,e,a,e,b,b,g,h,a,b,c,b,c,a,d,e,a,f,b,e,b,b,c,a,b,d,a,b,b,d,b,b,a,a
Man,Puerto Rican,White,2nd,No,Student,Yes,,No,b,h,c,f,d,c,b,e,d,a,g,e,a,e,e,c,b,h,d,f,f,e,i,b,f,c,a,a,a,a,f,b,e,b,b,f,e,f,c,a,f,b,d,b,b,b,b,b,d,f,f,d,g,b,a,a,a,b,f,d,c,g,f,e,g,c,a,f,f,f,g,g,h,g,a,c,e,d,c,f,g,a,d,d,e,a,h,e,i,d,a,b,b,b
Man,Mexican/Mexican American/Chicano/Chicana,No Answer,2nd,No,Student,Yes,,No,a,b,f,a,b,d,b,g,d,b,g,d,b,a,e,c,h,i,c,f,c,g,d,b,f,g,g,d,b,e,b,b,e,b,b,f,c,b,d,a,c,b,d,a,a,c,c,a,b,g,e,b,g,f,e,d,b,c,d,f,a,e,c,b,c,d,f,i,a,g,b,f,c,g,d,b,e,e,e,e,e,a,f,a,c,d,d,h,b,a,a,a,c,b
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,a,a,a,a,a,a,a,d,b,a,b,a,b,e,d,b,g,e,c,g,c,g,g,i,c,a,a,a,a,b,a,b,c,b,c,c,c,a,d,d,g,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,White,2nd,No,Student,Yes,,Yes,a,b,c,g,f,e,e,g,d,b,g,d,b,a,e,c,b,h,d,f,h,a,b,c,b,c,a,d,a,a,f,b,e,b,b,c,c,b,a,a,f,b,d,a,a,d,d,d,c,f,g,b,a,g,h,d,f,b,a,g,a,f,e,a,i,a,d,a,g,h,a,b,a,d,g,f,c,b,b,g,b,a,d,e,a,d,c,f,a,h,a,e,b,b
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,d,f,f,c,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,b,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,No,,No,b,a,e,g,c,d,f,f,d,b,g,d,b,c,e,a,d,a,b,i,f,a,d,b,i,a,d,d,d,c,b,a,e,b,b,a,c,a,d,d,h,c,a,a,b,a,b,a,b,c,g,d,c,e,g,d,b,a,d,a,e,e,a,e,b,b,g,h,a,b,c,b,c,a,d,a,a,e,b,e,b,b,c,a,b,d,a,d,b,d,a,b,b,a
Woman,Not of Hispanic/Latinx/Spanish origin,"Chinese,Vietnamese",2nd,No,Student,Yes,,No,a,b,d,g,b,c,f,f,d,c,f,d,c,a,e,c,g,d,a,f,f,a,g,b,f,a,e,d,b,a,b,c,e,b,b,c,a,c,d,a,c,b,d,b,c,b,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,Chinese,2nd,No,Student,Yes,,No,a,b,c,g,b,c,e,g,d,b,g,d,b,a,e,c,b,h,d,f,f,e,g,b,f,a,g,d,b,a,b,b,e,b,b,a,a,b,c,a,f,b,d,e,b,a,c,b,h,f,f,h,b,b,g,d,a,c,d,a,d,a,c,e,g,f,g,b,c,g,a,f,e,c,d,g,e,e,e,e,b,a,c,a,b,e,a,b,f,d,c,b,c,b
Man,Not of Hispanic/Latinx/Spanish origin,"Chinese,Vietnamese,An Asian race not listed",3rd,No,Student,No,,Yes,a,b,c,g,b,f,b,e,d,b,g,d,b,a,e,c,d,h,d,f,i,a,g,b,f,a,g,d,b,b,b,b,e,b,b,c,c,b,a,a,i,b,d,e,e,e,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Asian,Asian Indian,2nd,No,Student,Yes,,Yes,b,b,g,f,d,e,c,f,d,a,f,e,c,a,e,c,d,h,h,f,f,e,g,g,f,a,e,d,b,b,e,c,d,d,b,d,a,c,b,h,c,f,d,c,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,Korean,1st,No,Student,Yes,,Yes,b,d,f,g,d,f,b,f,d,b,g,d,b,e,e,a,e,b,b,f,i,e,g,c,b,c,g,d,b,a,a,b,e,b,b,c,c,b,d,a,f,b,d,a,a,c,c,a,b,c,e,d,e,c,a,a,a,g,a,a,e,e,a,e,b,a,g,e,a,b,c,a,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,Chinese,2nd,No,Student,No,,No,a,b,c,f,b,c,e,f,d,c,g,d,b,c,e,a,h,i,i,f,g,a,b,c,a,c,e,d,a,a,f,b,e,b,b,d,e,b,d,d,g,c,a,e,a,a,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,e,g,d,b,g,d,b,a,e,c,a,h,c,f,h,e,g,b,f,a,g,d,b,a,f,b,e,b,b,d,c,c,d,a,f,b,d,a,a,c,c,a,b,g,g,d,g,c,b,d,b,b,d,b,e,e,a,e,d,b,f,e,a,g,c,f,c,a,a,a,e,e,e,e,e,a,c,a,b,e,a,f,b,d,b,b,a,a
Woman,Other,Hispanic,2nd,No,Student,Yes,,No,b,f,c,g,b,b,e,f,f,a,e,f,c,a,e,c,d,h,c,g,f,e,g,b,e,a,f,f,c,a,c,b,e,b,b,b,a,b,b,a,h,b,d,b,a,c,a,a,c,c,d,e,d,d,d,a,d,a,e,f,d,c,e,h,h,e,e,b,e,b,c,d,b,b,d,f,e,e,b,c,g,c,f,c,d,f,c,d,d,b,a,b,c,b
Man,Bolivian,Mix,2nd,No,Student,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,d,b,b,f,a,a,e,e,a,c,c,c,e,e,a,e,g,c,e,f,g,f,e,d,b,g,e,g,g,e,b,a,c,a,b,b,a,c,g,e,c,b,c,c,c,c
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,d,a,b,f,e,c,f,d,b,a,e,c,b,h,d,f,i,e,g,b,f,a,g,d,b,e,b,g,e,b,a,d,c,b,b,a,f,b,d,a,a,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woman,Genderqueer/Gender non-conforming",Not of Hispanic/Latinx/Spanish origin,"White,Chinese",2nd,No,Student,No,,Yes,a,b,f,g,b,f,b,f,d,a,e,d,a,a,e,c,d,g,b,i,c,e,g,b,b,c,e,d,a,e,e,e,e,e,a,c,a,b,e,a,f,b,d,a,b,b,b,a,b,f,g,b,g,b,e,a,a,e,d,a,a,e,c,d,h,d,f,i,e,g,g,f,a,g,d,b,e,e,e,e,e,a,a,a,b,e,d,f,h,d,a,a,b,b
Woman,Venezuelan,White,1st,No,Student,Yes,,Yes,a,b,c,g,a,c,e,f,d,g,f,e,g,a,e,c,b,g,d,f,e,e,f,b,f,a,f,d,b,f,b,b,e,b,b,c,a,f,d,a,g,b,i,a,a,a,c,b,d,f,f,d,c,b,b,d,c,a,a,d,a,e,c,b,h,i,f,g,e,g,b,i,a,a,a,a,e,e,e,e,e,b,b,b,b,d,a,f,b,d,b,b,a,b
Man,Puerto Rican,No Answer,2nd,No,Student,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,b,f,f,d,e,c,e,d,b,g,d,b,a,e,c,b,h,d,f,c,e,g,i,f,a,g,d,b,a,f,b,e,b,b,c,a,b,d,a,f,c,d,a,a,c,c
Man,Mexican/Mexican American/Chicano/Chicana,White,2nd,No,Student,No,,No,a,b,c,e,b,a,e,e,d,b,f,d,b,a,e,c,b,h,d,f,h,e,g,c,f,c,f,d,c,a,f,b,e,b,a,f,c,c,b,a,f,b,d,b,b,c,b,b,b,c,g,f,c,e,f,d,b,f,d,b,e,e,a,e,h,d,f,h,e,g,c,f,a,f,d,b,e,e,e,e,e,f,c,a,b,b,a,f,b,d,a,b,c,c
Man,Not of Hispanic/Latinx/Spanish origin,White,4th,No,Student,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,c,a,c,a,f,b,e,b,a,c,a,b,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,"White,An Asian race not listed",2nd,No,Student,Yes,,Yes,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,d,a,e,f,d,b,f,d,b,a,e,c,i,d,d,f,a,e,f,c,f,i,f,d,b,a,a,e,e,e,b,c,d,b,d,d,h,b,a,a,a,a,a,f,b,f,c,d,e,h,c,d,f,b,d,b,c,c,b,b,c,c,b,a,f,d,c,c,e,e,d,d,b,d,b,b,e,c,b,d,b,d,b,b,c,e,a,b,b,c
Man,Not of Hispanic/Latinx/Spanish origin,White,1st,No,Student,Yes,,Yes,a,b,c,e,b,c,g,g,d,b,g,d,b,a,e,c,b,h,d,f,a,e,g,b,f,a,g,d,c,f,b,b,a,b,a,c,a,b,e,a,f,b,d,a,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,3rd,Yes,Student,Yes,,Yes,a,b,c,g,b,a,e,f,d,a,e,d,a,b,e,c,b,h,h,f,c,e,g,a,g,a,e,d,a,f,b,d,e,g,b,c,c,f,d,a,f,a,d,a,d,d,d,a,b,c,g,b,c,b,f,d,a,f,d,b,c,e,c,h,h,d,f,i,i,g,b,f,a,h,h,h,e,e,e,e,e,f,a,a,a,e,a,h,b,d,a,e,a,b
No Answer,No Answer,No Answer,1st,No,Student,Yes,,No Answer,a,b,c,g,f,c,b,g,d,a,g,d,a,e,e,a,e,b,b,f,h,a,b,c,a,c,a,a,a,a,f,a,e,b,a,c,a,b,d,a,b,f,d,b,b,a,a,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,e
Man,Not of Hispanic/Latinx/Spanish origin,"White,Korean",3rd,No,Student,No,,Yes,a,b,f,g,b,c,b,f,e,a,g,d,a,a,e,c,d,h,d,f,h,e,g,b,f,a,g,d,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,a,b,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Cuban,"White,Filipino,Middle Eastern or North African",3rd,No,Student,Yes,,No,b,a,f,d,g,b,e,a,d,g,d,c,g,i,b,a,i,g,h,b,d,a,c,e,f,h,b,d,f,a,g,d,f,d,a,c,e,f,d,a,d,g,c,e,c,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Panamanian,Black or African American,2nd,No,Student,Yes,,No,c,b,c,h,f,e,e,f,d,a,e,d,a,a,e,c,d,h,i,f,h,a,d,b,e,e,e,d,c,e,d,b,e,b,b,c,a,d,e,d,c,h,d,b,a,a,c,b,a,c,g,b,c,e,e,d,a,f,d,b,a,e,c,b,d,h,f,i,a,b,c,b,c,f,d,b,a,b,e,e,b,b,d,a,b,e,a,h,b,d,a,a,c,c
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,Yes,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,a,e,b,e,b,a,c,a,b,a,a,f,b,d,a,a,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Chinese,3rd,No,Student,Yes,,No,a,b,f,g,b,f,b,g,d,a,a,a,a,a,e,c,b,h,d,f,a,a,b,c,b,c,a,a,a,a,e,b,e,b,b,c,a,b,d,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,f,d,e,g,d,b,g,d,b,d,e,c,b,h,d,f,h,e,g,b,f,a,g,e,b,e,e,d,e,b,b,a,c,b,c,d,g,a,d,a,a,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,g,a,a,a,b,c,g,f,b,b,g,d,b,a,e,c,a,h,c,f,h,a,g,a,e,a,c,d,b,a,b,a,e,b,b,f,a,b,d,a,h,a,d,a,a,a,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Answer,No Answer,No Answer,2nd,No,Student,Yes,,Yes,g,f,b,a,f,f,f,g,d,b,g,d,b,a,e,c,b,f,d,f,h,e,g,b,f,a,g,b,b,a,f,e,e,b,b,c,c,b,d,a,f,b,d,a,a,d,d,b,d,f,f,d,b,b,e,b,b,a,a,a,e,e,a,b,b,b,g,e,a,f,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,b,f,a,d,b,b,a,a
Woman,Guatemalan/Salvadorean,White,2nd,No,Student,No,,No,a,b,c,g,f,e,e,f,d,b,f,e,c,a,e,c,d,g,h,f,i,e,d,f,g,a,f,e,c,a,b,c,d,e,a,c,e,f,b,e,b,h,d,a,b,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,Yes,Student,Yes,,No,b,c,f,g,d,c,f,g,c,g,f,d,b,c,e,a,h,f,h,f,i,e,d,i,f,b,f,d,b,b,a,c,c,e,c,e,e,b,b,a,b,e,d,c,c,b,b,a,b,e,g,b,e,b,e,d,c,f,d,b,c,e,a,h,f,g,f,i,e,d,g,g,a,c,d,b,e,e,e,e,e,a,a,a,a,e,a,f,c,h,a,a,d,a
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,Yes,,No,c,c,f,e,d,c,f,b,c,f,f,d,b,c,e,a,g,f,g,f,a,e,d,g,d,a,b,d,g,a,b,c,c,a,d,b,f,c,b,c,e,b,d,c,a,b,a,a,b,e,g,a,c,g,f,d,e,a,d,a,a,e,c,b,h,d,f,c,e,d,g,f,i,g,d,a,a,e,e,c,e,b,c,c,c,e,d,f,h,d,a,c,b,a
Man,Colombian,White,1st,No,Student,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,g,e,a,b,b,g,d,c,g,d,a,a,e,c,h,i,d,f,c,e,d,g,f,a,g,d,b,e,e,e,e,e,a,a,a,a,e,a,h,c,d,a,a,a,c
Man,Puerto Rican,White,2nd,No,Student,Yes,,Yes,a,b,c,e,b,g,e,f,d,b,g,d,b,a,e,c,d,h,a,f,c,a,d,b,f,a,g,d,b,c,b,e,c,b,d,d,a,b,b,a,h,e,e,b,c,c,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
