Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,a,a,d,b,c,d,e,a,c,b,d,d,c,c,a,d,a,a,c,d,b,c,b,b,c,e,b,c,c,d,c,a,b,b,b,b,c,a,d,b,d,c,a,a,a,b,a,a,c,b,b,a,d,b,c,e,b,e
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,c,a,b,a,c,a,b,d,e,c,a,b,b,a,c,a,a,d,e,c,c,a,a,b,e,a,c,b,a,e,b,c,b,a,b,b,b,a,b,a,a,b,b,a,c,c,a,e,d,c,d,b,c,a,d,b,a,b,b,e
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,a,a,e,c,e,b,b,c,b,b,c,d,c,c,a,e,e,e,e,d,b,a,d,a,c,d,a,e,b,b,a,a,e,c,d,e,b,a,d,b,c,d,c,a,b,d,e,d,e,b,b,a,c,e,c,d,b,e
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,d,d,a,a,c,b,b,e,c,d,c,b,c,b,b,c,a,b,e,c,c,a,d,c,d,a,c,e,b,e,a,d,a,e,d,b,b,b,e,a,c,b,d,b,a,a,b,b,a,d,c,a,d,a,c,e,c,c,b,c
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,No,a,d,e,a,e,a,a,a,b,c,c,c,b,c,c,c,e,d,d,c,d,b,d,c,e,a,c,d,d,e,a,d,b,a,e,a,b,e,c,c,d,d,b,d,b,d,b,c,d,b,d,a,d,b,b,b,a,c,c,c
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,No,d,d,b,a,d,a,c,a,b,e,b,b,b,d,c,a,a,d,e,a,e,b,d,d,e,b,c,d,b,e,a,a,c,a,e,b,e,b,e,a,b,c,c,b,c,a,a,e,d,a,e,a,d,a,c,c,c,e,b,e
Man,Not of Hispanic/Latinx/Spanish origin,White,4th,No,Student,Yes,,Yes,d,d,b,a,d,b,b,a,b,c,b,d,c,a,b,c,a,d,e,a,e,b,c,d,e,a,c,d,a,b,b,b,b,a,c,b,a,a,c,a,e,c,d,a,b,a,b,d,d,a,d,d,d,e,e,d,b,d,a,e
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,No,c,d,a,a,e,b,c,a,c,e,b,e,c,d,c,c,c,e,d,c,b,a,c,c,d,d,a,d,a,b,c,d,b,a,e,b,a,a,d,d,b,e,b,d,b,b,b,e,d,c,c,a,c,a,b,e,a,d,b,e
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,No,a,b,c,a,d,b,c,b,b,a,a,b,d,d,c,c,a,e,e,a,d,b,b,a,d,a,c,e,b,b,d,d,c,e,b,b,c,b,c,a,d,c,d,d,c,a,a,b,e,d,d,b,b,a,c,e,c,e,b,c
Man,No Answer,Black or African American,3rd,No,Student,Yes,,No,c,a,b,a,a,b,a,a,b,e,c,b,a,a,d,a,e,c,d,a,c,d,c,b,b,c,c,b,e,b,c,a,c,e,d,b,b,a,b,a,c,b,d,d,c,a,c,c,c,d,c,a,b,d,c,b,b,e,b,c
Man,No Answer,White,2nd,No,Student,Yes,,Yes,d,d,a,a,c,c,b,d,a,e,b,c,c,c,c,b,e,c,d,a,c,a,c,e,b,c,a,d,a,e,d,b,a,a,c,b,c,b,d,a,c,b,a,c,c,a,b,d,e,a,c,e,d,c,d,a,c,c,b,e
