Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
A,B,C,G,F,D,E,G,D,B,G,D,B,A,E,C,B,F,G,H,J,E,G,B,F,A,G,D,C,A,F,B,E,J,B,C,A,B,D,A,H,B,D,A,B,J,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,C,G,B,C,E,F,D,B,G,D,B,A,E,C,B,G,D,F,H,E,G,B,F,A,G,D,B,E,B,A,E,B,B,C,A,B,D,A,F,B,D,A,A,C,C,A,B,C,G,B,C,E,E,D,A,G,D,B,A,E,C,B,H,D,G,F,A,H,C,B,C,G,D,B,E,B,B,E,B,A,C,A,B,D,A,F,B,D,A,A,D,B
A,B,F,G,F,G,B,G,D,B,G,D,C,B,E,C,B,H,D,F,H,A,B,J,B,J,G,D,C,A,F,F,E,F,B,C,A,B,E,A,F,B,D,A,B,D,D,B,C,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,B,B,A,A
A,B,C,F,A,F,D,G,D,C,G,D,B,C,E,J,D,H,D,F,F,E,F,C,B,A,G,D,B,A,E,B,E,B,B,C,A,B,D,A,F,B,D,B,A,C,C,B,D,F,F,B,C,B,G,D,A,G,D,A,E,E,C,E,H,D,F,F,A,G,C,F,C,G,D,A,A,F,E,E,E,B,C,A,B,A,A,F,B,D,A,A,A,A
A,B,C,G,B,E,B,G,D,B,G,D,B,A,E,C,B,H,D,F,G,E,D,B,F,A,G,D,B,A,F,E,E,E,B,C,A,B,D,A,B,B,D,A,B,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,C,G,B,C,E,F,D,B,F,D,B,A,E,C,H,B,G,F,F,E,D,G,F,E,F,D,B,A,A,A,E,B,B,A,C,B,C,D,G,C,D,A,A,C,C,A,B,C,G,B,E,B,G,D,B,G,D,B,G,E,A,H,C,C,F,F,E,F,C,E,C,C,D,B,A,A,E,A,A,A,D,C,B,D,E,J,E,D,B,A,B,C
A,B,E,G,B,C,E,G,D,B,G,D,B,A,E,C,B,D,H,F,G,E,F,B,G,A,G,D,B,A,E,B,E,D,B,C,A,D,D,A,H,B,S,B,B,A,A,A,B,C,G,D,F,E,G,D,B,G,D,B,A,E,C,B,H,D,F,J,E,D,B,F,A,G,D,B,A,B,E,E,D,A,C,E,B,E,A,F,B,D,A,B,C,D
A,B,C,G,B,C,E,G,D,B,G,D,B,A,E,C,B,H,D,F,H,E,G,C,F,A,G,D,B,A,B,B,E,A,B,C,A,D,B,A,F,H,D,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,J,F,F,D,J,C,G,D,B,G,D,B,A,E,C,B,H,D,F,H,A,J,C,B,C,A,A,A,A,F,B,E,B,B,C,A,B,D,A,F,B,D,A,A,D,D,B,D,F,F,C,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,E,E,E,E,E,B,C,A,B,E,A,F,B,D,B,B,A,A
B,D,F,F,D,B,B,A,A,A,A,A,A,E,E,A,E,B,B,G,E,A,B,C,B,C,A,A,A,A,F,B,E,B,B,C,A,B,D,A,F,B,D,B,B,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,C,G,B,C,E,F,D,B,F,D,B,A,E,C,B,H,G,F,C,E,G,B,F,A,E,D,B,A,B,J,E,B,B,C,A,B,B,A,B,H,D,B,A,C,C,A,B,C,G,B,C,E,E,D,B,F,D,B,A,E,C,B,H,G,F,A,E,G,E,G,A,F,D,B,A,B,E,E,E,B,C,A,B,D,A,J,A,D,A,A,C,C
