Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
about half as long for the lighter ball as for the heavier one.,the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,1 and 2,B,B,D,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",continuously decreases.,"A downward force of gravity, and a horizontal force in the direction of motion.",D,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,A,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,"the car's engine is running so the car pushes against the truck, but the truck's engine is not running so the truck cannot push back against the car. The truck is pushed forward simply because it is in the way of the car.","none of the above. (The elevator goes up because the cable is being shortened, not because an upward force is exerted on the elevator by the cable).",1 and 3,"Yes, at instants 2 and 5.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are greater than zero.",A,continuously decreasing.,D,constant.,is greater than the total force which resists the motion of the box.,with a constant speed that is double the speed vo in the previous question.,immediately start slowing to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.",1 only,"1, 2, and 3","considerably less for the heavier ball, but not necessarily half as long.",both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,"1, 3, and 4",B,B,D,smaller than either of the speeds vo and vk.,is constant for a while then decreases thereafter.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",C,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the sum of the downward force of gravity and a downward force due to the air.,1 and 3,"Yes, at instants 2 and 5.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are greater than zero.",A,increasing for a while and then constant thereafter.,D,continuously decreasing.,is greater than either the weight of the box or the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately start slowing to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 and 2,"1, 2, and 3"
"considerably less for the lighter ball, but not necessarily half as long.","the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,"1, 2, and 3",A,B,E,equal to the speed vk resulting from the kick and independent of vo.,is constant for a while then decreases thereafter.,A downward force of gravity and an upward force exerted by the surface.,E,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the upward force by the cable is greater than the downward force of gravity.,"1, 3, and 4","Yes, at some time during the interval 3 to 4.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",C,continuously decreasing.,A,constant.,is greater than either the weight of the box or the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately start slowing to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 only,"1, 2, and 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"considerably less for the lighter ball, but not necessarily half as long.","the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,1 and 2,B,A,E,equal to the speed vk resulting from the kick and independent of vo.,increases for a while then decreases thereafter.,"A downward force of gravity, and a horizontal force in the direction of motion.",B,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,"none of the above. (The elevator goes up because the cable is being shortened, not because an upward force is exerted on the elevator by the cable).",1 and 3,"Yes, at instant 2.",Not enough information is given to answer the question.,D,increasing for a while and then constant thereafter.,D,continuously decreasing.,has the same magnitude as the total force which resists the motion of the box.,"for a while with an increasing speed, then with a constant speed thereafter.",immediately start slowing to a stop.,each student exerts the same amount of force on the other.,1 only,"1, 2, and 3",about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 2,B,B,D,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",is constant.,A downward force of gravity and an upward force exerted by the surface.,B,an almost constant downward force of gravity only.,D,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the sum of the downward force of gravity and a downward force due to the air.,1 and 2,"Yes, at some time during the interval 3 to 4.",Not enough information is given to answer the question.,B,continuously increasing.,B,continuously increasing.,has the same magnitude as the total force which resists the motion of the box.,"for a while with an increasing speed, then with a constant speed thereafter.",immediately start slowing to a stop.,"each student exerts a force on the other, but ""b"" exerts a larger force.",1 and 2,"1, 2, and 3"
"considerably less for the lighter ball, but not necessarily half as long.","the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",falls because of the combined effects of the force of gravity pushing it downward and force of air pushing it downward.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 3,D,C,A,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",continuously decreases.,A downward force of gravity and an upward force exerted by the surface.,B,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,A,the amount of force with which the car pushes on the truck is smaller than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is smaller than the downward force of gravity.,1 and 2,"Yes, at instant 2.",Not enough information is given to answer the question.,B,constant for a while and then increasing thereafter.,B,increasing for a while and constant thereafter.,is greater than either the weight of the box or the total force which resists the motion of the box.,"for a while with a speed that is constant and greater than the speed vo in the previous question, then with a speed that increases thereafter.",immediately come to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 only,1 and 2,"considerably less for the lighter ball, but not necessarily half as long.",both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 2,B,A,B,equal to the speed vk resulting from the kick and independent of vo.,is constant.,A downward force of gravity and an upward force exerted by the surface.,B,an almost constant downward force of gravity only.,A,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is equal to the downward force of gravity.,1 and 2,"Yes, at instants 2 and 5.","The acceleration of ""b"" is greater than the acceleration of ""a"".",E,continuously increasing.,D,continuously decreasing.,has the same magnitude as the total force which resists the motion of the box.,with a constant speed that is double the speed vo in the previous question.,immediately come to a stop.,each student exerts the same amount of force on the other.,1 and 2,1 and 2
"considerably less for the heavier ball, but not necessarily half as long.",the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,1 and 2,B,A,A,equal to the speed vk resulting from the kick and independent of vo.,increases for a while then decreases thereafter.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",C,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,A,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,"the car's engine is running so the car pushes against the truck, but the truck's engine is not running so the truck cannot push back against the car. The truck is pushed forward simply because it is in the way of the car.",the upward force by the cable is greater than the downward force of gravity.,1 and 3,"Yes, at instants 2 and 5.","The acceleration of ""b"" is greater than the acceleration of ""a"".",A,constant.,D,continuously decreasing.,is greater than the total force which resists the motion of the box.,"for a while with a speed that is constant and greater than the speed vo in the previous question, then with a speed that increases thereafter.",immediately come to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.","1, 2, and 3",2 and 3,about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 3,A,A,A,equal to the speed vk resulting from the kick and independent of vo.,continuously increases.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",B,an almost constant downward force of gravity only.,D,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the upward force by the cable is equal to the downward force of gravity.,1 and 2,"Yes, at instants 2 and 5.","The acceleration of ""b"" is greater than the acceleration of ""a"".",E,continuously increasing.,B,constant.,has the same magnitude as the total force which resists the motion of the box.,with a continuously increasing speed.,immediately come to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.",1 and 2,1 and 3
"considerably less for the lighter ball, but not necessarily half as long.",both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,1 and 3,A,B,E,equal to the speed vk resulting from the kick and independent of vo.,increases for a while then decreases thereafter.,"A downward force of gravity, and a horizontal force in the direction of motion.",C,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,A,the amount of force with which the car pushes on the truck is smaller than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the downward force of gravity.,"1, 3, and 4","Yes, at some time during the interval 3 to 4.","The acceleration of ""b"" is greater than the acceleration of ""a"".",D,increasing for a while and then constant thereafter.,D,continuously decreasing.,has the same magnitude as the total force which resists the motion of the box.,with a constant speed that is double the speed vo in the previous question.,immediately come to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.",1 only,"1, 2, and 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,"1, 3, and 4",B,D,A,equal to the speed vk resulting from the kick and independent of vo.,increases for a while then decreases thereafter.,A downward force of gravity and an upward force exerted by the surface.,B,a steadily decreasing upward force from the moment it leaves the boy's hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,B,"the car's engine is running so the car pushes against the truck, but the truck's engine is not running so the truck cannot push back against the car. The truck is pushed forward simply because it is in the way of the car.",the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the upward force by the cable is greater than the downward force of gravity.,1 and 3,No.,Not enough information is given to answer the question.,E,constant.,E,increasing for a while and constant thereafter.,has the same magnitude as the total force which resists the motion of the box.,"for a while with an increasing speed, then with a constant speed thereafter.",immediately come to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 only,2 and 3,about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,"1, 2, and 3",A,B,B,equal to the arithmetic sum of the speeds vo and vk.,is constant.,None (no forces act on the puck).,B,an almost constant downward force of gravity only.,B,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is equal to the downward force of gravity.,"1, 3, and 4",No.,"The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",C,constant.,A,constant.,has the same magnitude as the total force which resists the motion of the box.,with a continuously increasing speed.,immediately start slowing to a stop.,each student exerts the same amount of force on the other.,1 and 2,2 and 3
about the same for both balls.,"the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",falls because of the natural tendency of all objects to rest on the surface of the earth.,the truck exerts the same amount of force on the car as the car exerts on the truck.,"1, 3, and 4",A,B,B,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",increases for a while then decreases thereafter.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",C,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the upward force by the cable is greater than the sum of the downward force of gravity and a downward force due to the air.,1 and 3,"Yes, at some time during the interval 3 to 4.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",B,constant.,C,constant.,is greater than the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately start slowing to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.",1 and 2,1 only,about the same for both balls.,the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 3,B,B,B,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",continuously decreases.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",C,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the upward force by the cable is greater than the sum of the downward force of gravity and a downward force due to the air.,"1, 3, and 4","Yes, at some time during the interval 3 to 4.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",A,constant.,A,constant.,is greater than the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately come to a stop.,each student exerts the same amount of force on the other.,1 and 2,"1, 2, and 3"
about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 3,B,B,B,equal to the speed vk resulting from the kick and independent of vo.,is constant.,A downward force of gravity and an upward force exerted by the surface.,B,an almost constant downward force of gravity only.,D,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is equal to the downward force of gravity.,1 and 2,"Yes, at some time during the interval 3 to 4.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are greater than zero.",B,continuously increasing.,B,constant.,has the same magnitude as the total force which resists the motion of the box.,with a continuously increasing speed.,immediately start slowing to a stop.,each student exerts the same amount of force on the other.,1 and 2,1 and 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 2,A,B,E,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",is constant.,A downward force of gravity and an upward force exerted by the surface.,D,an almost constant downward force of gravity only.,A,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is smaller than the downward force of gravity.,1 only,"Yes, at instant 2.","The acceleration of ""b"" is greater than the acceleration of ""a"".",C,increasing for a while and then constant thereafter.,C,constant.,is greater than the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately come to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 only,1 and 2,about the same for both balls.,"the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",falls because of the natural tendency of all objects to rest on the surface of the earth.,the truck exerts the same amount of force on the car as the car exerts on the truck.,"1, 2, and 3",B,E,E,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",is constant.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",C,an almost constant downward force of gravity only.,A,the amount of force with which the car pushes on the truck is smaller than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is equal to the downward force of gravity.,1 and 3,"Yes, at some time during the interval 3 to 4.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",D,continuously decreasing.,A,constant.,is greater than the total force which resists the motion of the box.,"for a while with a speed that is constant and greater than the speed vo in the previous question, then with a speed that increases thereafter.",immediately come to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.",1 and 2,"1, 2, and 3"
about the same for both balls.,"the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 only,C,D,A,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",is constant.,A downward force of gravity and an upward force exerted by the surface.,B,an almost constant downward force of gravity only.,D,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the sum of the downward force of gravity and a downward force due to the air.,1 only,No.,"The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",E,continuously increasing.,B,constant.,has the same magnitude as the total force which resists the motion of the box.,with a continuously increasing speed.,immediately start slowing to a stop.,each student exerts the same amount of force on the other.,1 and 2,1 and 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"considerably less for the heavier ball, but not necessarily half as long.",both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,1 only,A,B,E,smaller than either of the speeds vo and vk.,increases for a while then decreases thereafter.,"A downward force of gravity, and a horizontal force in the direction of motion.",B,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,A,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the downward force of gravity.,"1, 3, and 4",No.,"The acceleration of ""b"" is greater than the acceleration of ""a"".",A,continuously increasing.,A,continuously decreasing.,is greater than either the weight of the box or the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately start slowing to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.","1, 2, and 3","1, 2, and 3",about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 2,B,A,B,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",increases for a while then decreases thereafter.,"A downward force of gravity, and a horizontal force in the direction of motion.",B,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,neither the car nor the truck exert any force on the other. The truck is pushed forward simply because it is in the way of the car.,the upward force by the cable is equal to the downward force of gravity.,"1, 2 and 3","Yes, at instant 5.","The acceleration of ""a"" is greater than the acceleration of ""b"".",E,continuously increasing.,C,continuously increasing.,has the same magnitude as the total force which resists the motion of the box.,"for a while with an increasing speed, then with a constant speed thereafter.",immediately start slowing to a stop.,each student exerts the same amount of force on the other.,1 and 2,1 and 2
"considerably less for the lighter ball, but not necessarily half as long.","the lighter ball hits the floor considerably closer to the base of the table than the heavier ball, but not necessarily half the distance.",speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts the same amount of force on the car as the car exerts on the truck.,1 and 3,A,B,B,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",increases for a while then decreases thereafter.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",E,a steadily decreasing upward force from the moment it leaves the boy's hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,A,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the downward force of gravity.,1 and 3,"Yes, at instants 2 and 5.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are greater than zero.",B,constant.,A,continuously decreasing.,is greater than the weight of the box.,with a constant speed that is double the speed vo in the previous question.,immediately come to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 and 2,"1, 2, and 3",about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts the same amount of force on the car as the car exerts on the truck.,"1, 2, and 3",A,E,D,equal to the speed vo that it had before it received the kick.,continuously increases.,"A downward force of gravity, and a horizontal force in the direction of motion.",E,an almost constant downward force of gravity only.,A,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is equal to the downward force of gravity.,"1, 2 and 3","Yes, at instants 2 and 5.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are greater than zero.",A,continuously increasing.,A,constant.,has the same magnitude as the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",continue at a constant speed.,each student exerts the same amount of force on the other.,1 and 2,1 and 2
about the same for both balls.,the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,"1, 3, and 4",B,B,A,equal to the speed vk resulting from the kick and independent of vo.,increases for a while then decreases thereafter.,"A downward force of gravity, and a horizontal force in the direction of motion.",B,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,B,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,"none of the above. (The elevator goes up because the cable is being shortened, not because an upward force is exerted on the elevator by the cable).","1, 2 and 3","Yes, at instant 5.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are greater than zero.",E,continuously increasing.,D,continuously decreasing.,is greater than the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately come to a stop.,"each student exerts a force on the other, but ""a"" exerts a larger force.",1 and 2,"1, 2, and 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"considerably less for the heavier ball, but not necessarily half as long.","the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,1 and 3,B,B,B,"greater than either of the speeds vo and vk, but less than the arithmetic sum of these two speeds.",is constant.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",B,a steadily decreasing upward force from the moment it leaves the boy's hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,D,"the car's engine is running so the car pushes against the truck, but the truck's engine is not running so the truck cannot push back against the car. The truck is pushed forward simply because it is in the way of the car.","the car's engine is running so the car pushes against the truck, but the truck's engine is not running so the truck cannot push back against the car. The truck is pushed forward simply because it is in the way of the car.",the upward force by the cable is greater than the downward force of gravity.,1 and 3,"Yes, at some time during the interval 3 to 4.","The acceleration of ""b"" is greater than the acceleration of ""a"".",E,continuously increasing.,C,constant.,has the same magnitude as the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately start slowing to a stop.,"student ""a"" exerts a force on student ""b"", but ""b"" does not exert a force on ""a"".",1 only,"1, 2, and 3",about the same for both balls.,"the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily half the distance.",reaches a maximum speed soon after release and then falls at a constant speed thereafter.,the truck exerts the same amount of force on the car as the car exerts on the truck.,"1, 2, and 3",B,B,B,equal to the arithmetic sum of the speeds vo and vk.,is constant.,"A downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion.",B,an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant force of gravity.,D,the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,the amount of force with which the car pushes on the truck is equal to that with which the truck pushes on the car.,the upward force by the cable is greater than the sum of the downward force of gravity and a downward force due to the air.,"1, 3, and 4","Yes, at some time during the interval 3 to 4.","The acceleration of ""a"" equals the acceleration of ""b"". Both accelerations are zero.",E,increasing for a while and then constant thereafter.,D,continuously decreasing.,is greater than either the weight of the box or the total force which resists the motion of the box.,"with a constant speed that is greater than the speed vo in the previous question, but not necessarily twice as great.",immediately start slowing to a stop.,0,0,0
about half as long for the heavier ball as for the lighter one.,the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,about the same for both balls.,both balls hit the floor at approximately the same horizontal distance from the base of the table.,speeds up because of an almost constant force of gravity acting upon it.,the truck exerts a greater amount of force on the car than the car exerts on the truck.,"1, 3, and 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
